original-content,chatgpt-content
"Situated on the topmost level of Jumeirah Bali is AKASA, its new signature restaurant inspired by the Majapahit era. The interior evokes a stately banquet hall where a royal Javanese family would entertain an intimate group of friends amid the splendor and royal ceremony, while the view shows Bali in all its beauty from the cliffside venue. Seeing as Majapahit was the golden age of Java, it is only right that AKASA should offer all the best the island has to offer. Its Asian-fusion menu draws inspiration from Thai, Japanese and Korean cuisines, mixed with the rich and smoky flavours of Bali, served family-style for sharing. For a grand tour of AKASA’s signature dishes, guests can book the chef’s table to experience local and global flavors with a set menu featuring most of its amazing signature dishes. The food menu is complemented by a comprehensive cocktail list from a resident mixologist and a vast wine selection from AKASA’s underground wine cellar, accessible via a glass elevator, while a musicologist takes care of live music programming every night. The restaurant is open from Tuesday to Sunday from 5 p.m. to 11 p.m. For more information and to make a reservation, please visit www.jumeirahbali.com. Visit its social media channels and tag it with #TimeExceptionallyWellSpent.","AKASA is a new signature restaurant located at the top of Jumeirah Bali. It offers an Asian-fusion menu inspired by Thai, Japanese, Korean and Balinese cuisine, served family-style and guests can also book a chef's table for a set menu featuring its signature dishes. The restaurant also offers a comprehensive cocktail list and a vast wine selection from its underground wine cellar. Live music programming is available every night and the restaurant is open from Tuesday to Sunday, 5 p.m. to 11 p.m. For reservations, visit www.jumeirahbali.com or its social media channels with #TimeExceptionallyWellSpent."
"Epson Indonesia celebrates its 22nd anniversary right on the commemoration of Sumpah Pemuda (Youth Pledge), on Oct. 28. This year, Epson Indonesia is determined to transform the industry with sustainable solutions. It proves that Epson Indonesia is an ardent supporter of environmentally conscious programs. As another part of its Corporate Social Responsibility (CSR) programs, Epson Indonesia will be doing an Epson Goes to School (ETGS) roadshow in ten selected schools across Jakarta, Bekasi and Tangerang. Through ETGS, Epso will be distributing 10 units of the L Series Printers to improve their quality of education facilities. Aside from highlighting the company’s sustainability ambitions, Epson Indonesia is presenting the theme of Reviving Spirit with the hope that Epson will continue to persevere despite oncoming challenges. Despite the COVID-19 pandemic over the past two years, Epson Indonesia showed that it could accelerate its business and maintain business activities, service and distribution across the country. Yusuke Muto, director of Epson Indonesia, said that the company’s 22-year presence in Indonesia is largely supported by the dedication of stakeholders, partners and every Epson Indonesia employee. “Epson Indonesia’s business development combined with its innovation and technological advancements is linked to the trust of its customers and the commitment of partners and stakeholders. Therefore, I thank [Indonesians] for their trust and loyalty. We hope we can continue walking together,” Yusuke said. Epson Indonesia is also collaborating with the Indonesian Red Cross for a blood donation program across several locations in Jakarta; Bekasi and Bandung, West Java; Surabaya, East Java; Medan, North Sumatra; and Yogyakarta. Furthermore, they are opening another hero product called Robo Café. Vision Beyond: 40 years in Southeast Asia A week after Epson Indonesia’s 22nd anniversary, Epson Southeast Asia celebrated its 40th year anniversary at the Epson Southeast Asia headquarters in Singapore. Epson Southeast Asia announced that it is prepared to become the fourth-largest market in the world by 2030, citing a potential market that can benefit from a wide array of business opportunities. Epson Southeast Asia is known for holding the biggest market share in the region for printers, ink tanks, projectors, dye sublimation textile printers, SCARA robots, timing devices and more. “This May, [Epson Global] marked its 80th anniversary. By expressing our creativity, we are able to take on challenges and deliver the best service that exceeds our customers’ expectations. Epson is always guided by our philosophy of efficient, compact and precise innovation that we have developed since the company was founded,” said Epson Global president and CEO, Yasunori Ogawa.","Epson Indonesia celebrated its 22nd anniversary on Oct. 28, coinciding with the commemoration of the Youth Pledge. Epson Indonesia aims to transform the industry with sustainable solutions and highlights its sustainability ambitions. The company is doing an Epson Goes to School roadshow in ten schools across Jakarta, Bekasi and Tangerang and distributing 10 units of L Series printers to improve the quality of education. Epson Indonesia is collaborating with the Indonesian Red Cross for a blood donation program across several locations and launching a new product called Robo Café. A week later, Epson Southeast Asia celebrated its 40th anniversary and aims to become the fourth-largest market in the world by 2030. Epson Southeast Asia holds the largest market share in the region for printers, ink tanks, projectors, textile printers, robots, and timing devices. Epson Global President and CEO Yasunori Ogawa said the company is guided by its philosophy of efficient, compact, and precise innovation."
"The holiday season is upon us. After the past two years, the end-of-year activities without restrictions are guaranteed to be bigger and better than ever. Most coffee fiends in Indonesia are eager to find out the design for Starbucks’ holiday cups, as some would say it signals the start of the most wonderful time of the year after Halloween. Starbucks has unveiled its holiday menu and three designs for its annual cups, available starting on Thursday. It is also bringing back toffee nut crunch latte and peppermint mocha, both fan-favorites for the festive season with maple syrup, and the iconic gingerbread cookie. More are available this holiday season at Starbucks Reserve outlets in Jakarta and Depok. The season will debut two merchandise collections; “While you were sleeping” draws inspiration from the Nutcracker, and “Street Art” is about culture told through graffiti-motifs.","Starbucks Indonesia has released its holiday menu and three designs for its holiday cups, which will be available starting Thursday. The menu features fan-favorite drinks such as toffee nut crunch latte, peppermint mocha, and the iconic gingerbread cookie, which can be enjoyed at Starbucks Reserve outlets in Jakarta and Depok. The holiday season will also debut two merchandise collections, ""While you were sleeping"" inspired by the Nutcracker and ""Street Art"" with graffiti motifs, celebrating culture. Get ready to enjoy the festive season with Starbucks Indonesia."
"PT Indofood CBP Sukses Makmur Tbk’s (Indofood) flagship product, Indomie, is celebrating its 50th anniversary with an artistic collaboration with local and international brands. Titled Kolaboramie, the project showcases Indomie’s five decades of inspiration and special place within the hearts of the younger generations. Just as it has invented various flavors over the years, Indomie will be partnering with the Japan-based Italian restaurant chain Popolamama to bring an exciting collaboration menu. Kolaboramie will also be heavily focusing on the creative industry, reaching out to local beauty-brand Rabbit Habit and HSI Ceramic for unique, Indomie exclusive collections. Fans of modern art will also be delighted to know that Indomie will be working with IGOR + Museum of Toys for a Noodle Monster display. Kolaboramie will also include distinctive youth fashion brands such as Swallow, Thanksinsomnia, Kamengski, JKT Creative, Urbain, Tahilalats + Sandalboyz, Tangan and Saturdays. Kolaboramie also targets labels for children and families such as BohoPanna. Reaching further beyond its usual repertoire, Indomie is raising awareness for the environment with an upcycling project with Wiralagabae. Other collaborations also involve cycling-community Element Bike and storytellers on the KaryaKarsa content-creator platform. Gamers can also join in the fun with an Indomie-inspired in-game event. “One of [Indofood’s] missions through this collaboration is working with individuals in the creative arts industry to bring various innovations and inspire other local brands. Like the variety of Indomie flavors inspired by various regions and cultures, we hope that works inspired by Indomie will reach everybody and inspire them in turn,” said marketing manager Vemri Junaidi. “We hope that Indomie’s collaboration with the local branch will bring Indomie closer to the various communities existing in Indonesia. Together, we can initiate projects that will inspire Indonesia to move forward together. Bersama Indomie, terus hidupkan inspirasi,” Vemri added. Discover the Kolaboramie complete collection at the Indomie 50 Years event Live Inspiration - Indomie Nation in Kota Kasablanka, South Jakarta, starting on Nov. 4.","Indofood's Indomie is celebrating its 50th anniversary with ""Kolaboramie,"" a project featuring partnerships with local and international brands. The project focuses on the creative industry and features collaborations with a Japanese-based Italian restaurant chain, beauty brands, a museum of toys, youth fashion labels, upcycling project, cycling community, content creators, and a gaming event. Indomie aims to work with individuals in the creative arts industry to bring various innovations and inspire other local brands. The complete collection of Kolaboramie can be seen at the ""Indomie 50 Years event Live Inspiration - Indomie Nation"" in Kota Kasablanka, South Jakarta starting Nov. 4."
"VALLE Paddy Club, the island’s newest bar and lounge, welcomes Indonesians and expatriates alike keen to foster a sense of community while blending in with the club’s natural surroundings. Located in Canggu, the luxurious spot offers daily entertainment, including DJ performances and the beautiful view of rice terraces of the region. There, guests can find a range of healthy and natural Japanese-fusion dishes, inspired by the climate and food culture of Bali, in all of its natural beauty. The fusion menu is the perfect intersection between traditional Japanese and local dishes. The club is designed to complement Bali’s authentic paddy-field landscape, from its logo, down to the interior design itself. They operate with the ethos to be one-with-nature. Inside the club, there is a sundeck lounge area that stretches out for more than 75 meters, making it one of the open pool destinations in Canggu, located within a paddy field. Truly the perfect spot to watch the sunset with maximal open view of the rice paddy field. VALLE Paddy Club opens from Monday to Sunday from 10 a.m. to 12 a.m. For more information, please visit @vallepaddyclub on Instagram or contact +62 811 330 077.","VALLE Paddy Club is a new bar and lounge in Canggu, Bali, welcoming locals and expatriates. It features daily entertainment, a Japanese-fusion menu, and is designed to blend in with the natural surroundings of rice terraces. The club has a sundeck lounge area of over 75 meters with an open pool and views of the paddy fields. It operates from 10 a.m. to 12 a.m., Monday to Sunday. Contact info: +62 811 330 077 or @vallepaddyclub on Instagram."
"Today, PT Bank Maybank Indonesia, Tbk. (Maybank Indonesia) announced its consolidated financial results for the nine months until Sep. 30, 2022. It was revealed that Maybank Indonesia recorded Rp 1.48 trillion (US$95.24 million) in profits before tax (PBT) and profits after tax and minority interest (PATAMI) of Rp 1.06 trillion. Both PBT and PATAMI are therefore considered stable when compared with last year's results. While loans are showing growth, interest income has been reduced to lower loan yields as a result of rigid competition for loans. However, the Bank has also booked lower provisions as loan quality improved and well-contained overheads. The Bank’s net interest margin (NIM) also showed slight progression by 2 basis points (bps) to 4.8 percent in September 2022 due to lower costs of funds. The Bank’s fee-based income excluding global market fees was recorded at Rp1.23 trillion, attributed to loan and retail business-related fees and fees from subsidiaries. However, the Bank’s global market fees showed a 63.7 percent decline due to the global interest rate investment and volatile market conditions, with a decrease of total fee income by 10.4 percent year-on-year (yoy). Trade and business activities continued to show progressive trends throughout the nine months, followed by increasing demand for loans for large scale enterprises and corporations, as well as retail loans with the improvement in public consumption. These external factors resulted in a significant increase in the Bank’s total outstanding loans, which grew 12.8 percent to Rp 111.45 trillion from Rp 98.78 trillion last year. Maybank Indonesia’s banking segment grew exponentially by 25 percent from Rp 36.5 trillion to Rp 45.63 trillion to finance various projects and business expansions including in infrastructure, manufacturing and global trading. The Bank also grew in the community financial services (CFS) loan segment, comprising retail and non-retail segments, from Rp 62.29 trillion to Rp 65.81 trillion in the same period last year, showing a 5.7 percent growth. In non-retail loans for small and medium enterprises (SMEs), there was also another 5.7 percent growth from Rp 12.07 trillion to Rp 12.76 trillion. Meanwhile, the larger loan segment in SMEs also showed 1.3 percent growth from Rp 5.01 trillion to Rp 5.08 trillion as business and market activities resumed. In an effort to rebalance its non-retail loan portfolio segment, the Bank focused on loan disbursement to smaller segments, ensuring a more effective use of loans to support customers’ business continuity. Subsequently, the business banking loans portfolio experienced a 14.9 decrease that resulted in a 3.6 percent yoy decrease in the overall balance of the CFS non-retail loan segment. Meanwhile, the Bank’s consolidated CFS retail loan segment grew by 13.8 percent to Rp 37.74 trillion, backed by strengthening consumer purchasing power. The Bank’s credit card grew in business and personal loans by 12.5 percent to Rp 2.83 trillion. It was followed by subsidiaries' automotive financing of 20 percent (Rp 18.33 trillion). Mortgage loans have also shown growth from early 2022, showing an impressive 8.2 percent growth to Rp 16.03 trillion from the same period in the previous year. Total customer deposits grew 5 percent to Rp 107 trillion with current account saving account (CASA) growing 21.6 percent with current accounts increasing 33.9 percent to Rp 32.44 trillion and savings accounts increasing 7.6 percent to Rp 22.93 trillion. On the other hand, time deposits are observed to have declined 8.4 percent to Rp 51.63 trillion from Rp 56.34 trillion last year. This is due to the Bank’s consistent strategy to maintain low-cost funding through leveraging the Bank’s digital services to acquire customer deposits. Accordingly, the Bank’s CASA ratio improved and was higher at 51.8 percent in September 2022. With improvements in the overall economic outlook, the Bank recorded a decrease in provisions for impairment losses by 23.1 percent to Rp 818 billion in line with the Bank’s success in restructuring efforts for pandemic-impacted customers’ loans. The Bank’s consolidated non-performing loan (NPL) ratio improved to 3.5 percent (gross) and 2.5 percent (net) with a decrease in NPL balances by 16.3 percent yoy. The Bank maintained its prudent banking approach and conservative risk posture. Overhead costs remain under control at Rp 4.33 trillion even as businesses return to pre-pandemic normalcy. The Bank continues to implement sustainable cost management measures across its entire operations and initiatives to ensure every expense contributes to an increase in revenue. Liquidity remains strong with its bank-only loan to deposit ratio (LDR) at a healthy level of 90.2 percent, while its bank-only liquidity coverage ratio (LCR) stood at 176.9 percent in September 2022, exceeding the minimum level of 100 percent for regulators. Meanwhile, the capital adequacy ratio (CAR) remained strong at 24.7 percent in September 2022, with a total capital of Rp 28.02 trillion. The Bank also showed considerable growth in digital platforms. Financial transactions through the Bank’s digital banking platform for retail customers, M2U, registered an increase in transactions of 24.8 percent to approximately 13.1 million. Meanwhile, the Bank’s digital platform for corporate customers, M2E, registered an increase in transactions of 32.2 percent to more than 3.1 million. In the third quarter of 2022, Maybank Indonesia announced that it will introduce various new features on M2U including real-time BI-FAST transfer and credit card add-on features, such as converting credit card transactions into installments and increasing credit card limits. Maybank Indonesia’s Syariah banking unit also grew in assets by 7 percent to Rp 39.67 trillion, contributing total assets to the Bank’s individual assets of 25.7 percent.  The segment’s financing also grew 12.8 percent to Rp 27.98 trillion while the CASA grew significantly by 37.3 percent to Rp12.40 trillion. “During the period, Maybank Indonesia focused on our growth strategies, which have contributed to the Bank’s profitability. We will remain disciplined in maintaining our liquidity and capital, while at the same time continue with our efforts to drive business growth by strengthening our productivity across the Bank’s key business segments, and our digital transformation to increase our operational and business agility, enabling us to navigate the challenges and opportunities ahead.” said president director of Maybank Indonesia, Taswin Zakaria. Meanwhile,  president commissioner of Maybank Indonesia, Dato Khairussaleh Ramli, has observed Maybank Indonesia’s resilience and ability to capture growth opportunities post-pandemic by booking strong loan growth in its key business segments for nine months in 2022. “Indonesia is a huge market with tremendous opportunities, and we see traction in our growth momentum. Given Indonesia’s potential, backed by the Bank’s strong fundamentals, and sound risk management, I am confident that Maybank Indonesia will be able to navigate through any potential market volatility it may experience in the coming quarters,” he added.","Maybank Indonesia recorded Rp 1.48tn ($95.24m) in PBT and Rp 1.06tn in PATAMI for the 9 months until Sep. 30, 2022, stable compared to last year. Loans are growing but interest income decreased due to rigid competition for loans. The bank also booked lower provisions as loan quality improved, resulting in a slight progression in net interest margin (NIM) by 2 basis points to 4.8% in Sep. 2022. The fee-based income excluding global market fees was Rp 1.23tn, but global market fees showed a 63.7% decline due to the global interest rate investment and volatile market conditions. Total outstanding loans grew 12.8% to Rp 111.45tn and the banking segment grew 25% to Rp 45.63tn. The CFS loan segment grew 5.7%, and the retail CFS loan segment grew 13.8%. Total customer deposits grew 5% to Rp 107tn, with CASA growing 21.6% and LCR stood at 176.9%. The bank's capital adequacy ratio remained strong at 24.7%."
"The Immigration Directorate General at the Law and Human Rights Ministry has officially introduced a policy on a second home visa and limited stay permit, which was disseminated in Circular No. IMI-0740.GR.01.01/2022 on Oct. 25. “Taking the opportunity of the upcoming G20 [Group of 20] Summit, today we have officially launched the second home visa, with the goal of attracting foreign tourists to Bali and various other destinations,"" said Acting Immigration Director General Widodo Ekatjahjana at the policy’s introduction event in Bali on Tuesday. In introducing the new policy, Widodo called in tourist actors in Bali, noting that cooperation between all stakeholders was needed for a better tourist climate than before. The second home visa is targeted at certain foreigners as well as former Indonesian citizens who wish to stay and contribute positively to the Indonesian economy. With this visa, foreign citizens are able to stay for five or ten years and carry out various activities, including investment. Applications for a second home visa can be done easily through a website-based app at visa-online.imigrasi.go.id. The required documents include a national passport that is still valid for a minimum of 36 months, proof of funds in the form of an account owned by a foreign citizen or guarantor with a value of at least Rp 2 billion (US$128,547) or equivalent, a recent color photograph with a size of 4 centimeters by 6 cm with a white background and a curriculum vitae (CV). The non-tax state revenue (PNBP) rate for second home visas is Rp 3 million as regulated by Finance Minister Regulation (PMK) No. 2/2022, while payment can be made outside the Indonesian territory through the available PNBP payment portal. Widodo noted that this policy would come into effect 60 days after the circular letter was issued. ""This immigration policy is one of non-fiscal incentives so certain foreign citizens are stimulated to stay and contribute positively to the Indonesian economy amid an increasingly dynamic global economic conditions,"" he concluded.","Indonesia's Immigration Directorate General has introduced a new policy for a second home visa and limited stay permit, aimed at attracting foreign tourists to the country. The second home visa is targeted at foreign citizens and former Indonesian citizens who want to contribute positively to the Indonesian economy. It allows foreign citizens to stay for 5 or 10 years and engage in various activities, including investment. Applications can be made through a website-based app and require a valid passport, proof of funds, a recent photo, and a CV. The non-tax state revenue rate is Rp 3 million and payment can be made through a payment portal. The policy comes into effect 60 days after the circular letter was issued and is intended to stimulate foreign citizens to stay and contribute positively to the Indonesian economy in a dynamic global economic environment."
"Art is not limited to splashes of vibrant colors and true-to-life sceneries on a canvas. In its versatility, artistic creativity can be brought to life through various masterpieces in the form of everyday objects and unconventional installations. Murai Arts Projects attempts to present a new side to art in an upcoming exhibition, Timeless Creativity: A Different Kind of Canvas. True to its name, the exhibition will explore a collaboration between art and design through customized furniture pieces. Indonesian artists Naufal Abshar and Bunga Yuridespita are working together with international furniture-designer Laurence Howell to create seven pieces of furniture by Ku Casa. Naufal is known for works that incorporate dramatic colors and lines with a selection of texts. Through his works, Naufal always conveys a certain message or narrative to strike a chord with viewers. Meanwhile, Bunga mainly focuses on the composition of contrasting geometric shapes and soft colors. She specializes in creating visual distortions or even optical illusions by arranging objects at a certain perspective or angle. Timeless Creativity: A Different Kind of Canvas runs from Oct. 26 - Nov. 4 at Senayan City Ground Floor No. F10, Central Jakarta. Book a reservation now by contacting 082125998387.","The upcoming exhibition ""Timeless Creativity: A Different Kind of Canvas"" will showcase a collaboration between art and design through custom furniture pieces. Indonesian artists Naufal Abshar and Bunga Yuridespita will work with international furniture designer Laurence Howell to create seven pieces by Ku Casa. Naufal is known for works with dramatic colors and lines, while Bunga focuses on contrasting geometric shapes and soft colors. The exhibition will run from Oct. 26 - Nov. 4 at Senayan City Ground Floor No. F10, Central Jakarta. Reservations can be made by contacting 082125998387."
"After an incredible pilot edition in 2019, Guitar Expo is returning to Hard Rock Hotel Bali this year. Hard Rock Hotel Guitar Expo’s aim is to cultivate an appreciation for musicians and knit the community closer through a shared love of music. The event will present an impressive lineup of electric and acoustic guitar builders, vintage dealers and exhibitors of related guitar gear. Visitors will be greeted with a variety of guitars, basses, electronics and other musical instruments. Aside from concerts and jam sessions, there will be guitar clinics and a free-to-enter competition that invites participants of various ages. From Oct. 1 to Thursday, participants were able to submit their applications to get a chance to perform on the Centerstage on the expo’s last day and win the grand prize: the Heritage Electric Guitar. In addition, the hotel will be displaying the Pink Guitar collecition in support of Breast Cancer Awareness and will raise funds through Pinktober merchandise sales. The Hard Rock Hotel Guitar Expo is a free event for both Hard Rock Hotel guests and the general public taking place on Oct. 29 and 30 from 10 a.m. to 6 p.m.","Hard Rock Hotel Bali is hosting the Guitar Expo, an event aimed at promoting appreciation for music and musicians. The event features electric and acoustic guitar builders, vintage dealers, and musical instrument exhibitors. Visitors can expect concerts, jam sessions, guitar clinics, and a competition with a grand prize of a Heritage Electric Guitar. The hotel will also showcase the Pink Guitar collection to support Breast Cancer Awareness and raise funds through Pinktober merchandise sales. The event is free for both guests of the hotel and the general public and takes place on Oct. 29-30 from 10 a.m. to 6 p.m."
"Coca-Cola is bringing back its Recycle Me program in collaboration with the Mahija Parahita Nusantara Foundation and Waste4Change. The program is part of Coca-Cola’s ambition to inspire change in Indonesia and increase the rate of plastic waste collection and recycling. From Oct. 30- Dec. 20, consumers of Coca-Cola’s product can now segregate, collect and send their PET plastic waste to collecting centers managed by Mahija Parahita Nusantara in Jakarta, Bekasi and Tangerang. By using the Waste4Change platform, recyclers will receive reward points, and the accumulated plastic waste will be processed into t-shirts, bags and other valuable products. Last year, the initiative successfully collected over 220 kilograms of plastic bottles from thousands of participants between October and December 2021. This year, Recycle Me will be providing a logistical subsidy up to Rp 30,000 (US$1.93) for the first 3,000 users. Reward points can also be used to redeem various utility tokens including phone credit, electricity tokens and an e-wallet with a maximum worth of Rp 25,000 at various merchants. “Companies like Coca-Cola can play an important role in using the power and reach of their brand to drive consumer awareness of recycling and help inspire behavior change. We are confident that this year's Recycle Me program will have a far greater impact on reducing plastic waste in Indonesia,"" said managing director of Waste4Change, Mohamad Bijaksana Junerosano. Furthermore, the initiative is also an attempt to create a closed-loop production for PET bottles in Indonesia. For this program, Coca-Cola is utilizing a recycled PET (rPET) plant operating under Coca-Cola Europacific Partners in collaboration with Dynapack Asia and Amandina Bumi Nusantara. In 2022, the Amandina plant has the capacity to process 15,000 tonnes of waste/year with an aim to increase production up to 25,000 tonnes of waste/year in 2023. ""The Mahija Parahita Nusantara Foundation will provide eight collection centers to distribute used plastic PET plastic bottles in the Recycle Me program where later all PET plastic bottles collected by Mahija will be recycled by Amandina Bumi Nusantara,” said Public Affairs, Communications and Sustainability director for Indonesia and PNG Coca-Cola Europacific Partners, Lucia Karina Director of Public Affairs, Communications, and Sustainability Indonesia and PNG Coca-Cola Europacific Partners Lucia Karina (left), director of Public Affairs, Communications and Sustainability PT Coca-Cola Indonesia Triyono Prijosoesilo, chairman of Mahija Parahita Nusantara Foundation Hery Gunawan and managing director of Waste4Change Mohamad Bijaksana Junerosano (right) at the launch of the Recycle Me program, which will run for three months from Oct. 20-Dec. 20. The program will also benefit informal waste collectors (pemulung) who have been supported by the Mahija Parahita Foundation. Over the years, the foundation has contributed to the welfare of pemulung families through programs such as free health checkups and donations in the form of basic needs. “We believe that informal waste collectors play an important role in the local economy and contribute significantly to increasing the rate of PET plastic bottle collection in Indonesia,” added Karina. Involving customers and making them aware of the importance of the process of collecting and recycling used packaging is also part of Coca-Cola’s vision to create a World Without Waste --one of which is realized through achieving its zero-waste target by 2030. “By doing the Recycle Me again in its second year, we are once again raising awareness and provide an incentive for our customers to sort their used bottles. And through our collaboration with Waste4Change and the Mahija Parahita Nusantara Foundation, we are ensuring these bottles are recycled and getting a second life.” said director of Public Affairs, Communications and Sustainability PT Coca-Cola Indonesia, Triyono Prijosoesilo. For more information about the Recycle Me program, visit https://recycleme.coca-cola.co.id/","Coca-Cola is bringing back its Recycle Me program to increase the rate of plastic waste collection and recycling in Indonesia. From Oct 30 to Dec 20, consumers of Coca-Cola can segregate and collect their PET plastic waste and send it to collecting centers managed by the Mahija Parahita Nusantara Foundation and Waste4Change. The collected plastic waste will be processed into products and recyclers will receive reward points. Recycle Me is providing a logistical subsidy up to $1.93 for the first 3,000 users and the accumulated reward points can be redeemed for various tokens. The program is an attempt to create a closed-loop production for PET bottles in Indonesia and the Coca-Cola Amandina plant has a capacity to process 15,000 tonnes of waste/year. The program will benefit informal waste collectors and is part of Coca-Cola's vision to create a world without waste by achieving its zero-waste target by 2030."
